
-----------------------------------------------------------------------------
	######## CHOSEN CSMA TECHNIQUE IS : ONE PERSISTENT METHOD ########
-----------------------------------------------------------------------------


18/11/2021 20:59:01 CHANNEL has been initialised

18/11/2021 20:59:01 SENDER-3 starts sending data to RECEIVER3
18/11/2021 20:59:01 SENDER-4 starts sending data to RECEIVER4
18/11/2021 20:59:32 RECEIVER-2  ||  PACKET RECEIVED

18/11/2021 20:59:32 SENDER-2    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:32 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:32 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:32 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:33 SENDER-2    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:33 RECEIVER-1  ||  PACKET RECEIVED

18/11/2021 20:59:33 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:33 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:33 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:33 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:33 SENDER-3    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:34 RECEIVER-4  ||  PACKET RECEIVED

18/11/2021 20:59:34 SENDER-2    ||  PACKET 12 SENT TO CHANNEL
18/11/2021 20:59:34 SENDER-4    ||  PACKET 10 SENT TO CHANNEL
18/11/2021 20:59:34 SENDER-3    ||  COLLISION
18/11/2021 20:59:34 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:35 SENDER-3    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:35 RECEIVER-1  ||  PACKET RECEIVED

18/11/2021 20:59:35 SENDER-2    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:35 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:35 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:35 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:35 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:35 SENDER-2    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:35 RECEIVER-2  ||  PACKET RECEIVED

18/11/2021 20:59:35 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:36 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:36 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:36 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:36 SENDER-3    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:36 RECEIVER-4  ||  PACKET RECEIVED

18/11/2021 20:59:36 SENDER-1    ||  PACKET 13 SENT TO CHANNEL
18/11/2021 20:59:37 SENDER-4    ||  COLLISION
18/11/2021 20:59:37 SENDER-3    ||  PACKET 6 SENT TO CHANNEL
